"Data","Descrição","Categoria","Parcelas","Crédito","Débito","FOP","Situação"
"04/05/2022","Anuncios","Sítio Boa vista"," -"," -","27,62","CCredito Nubank","Pago"
"04/05/2022","Carone","Alimentação","1/2"," -","173,69","CCredito Nubank","Pago"
"04/05/2022","Oyo Gabriel","Presente"," -"," -","65,52","CCredito Nubank","Pago"
"04/05/2022","Carone","Alimentação","1/3"," -","65,95","CCredito Nubank","Pago"
"06/05/2022","Beatriz Cardoso","Outros"," -"," -","430","CCorrente Santander","Pago"
"09/05/2022","Jade Sanglard","Tearte"," -","486,46"," -","CCorrente Santander","Pago"
"09/05/2022","Aparecida","faxina"," -"," -","40","CCorrente Santander","Pago"
"10/05/2022","Helena","Sítio Boa vista"," -","1000"," -","CCorrente Santander","Pago"
"13/05/2022","kabecos","Alimentação"," -"," -","17","CCorrente Santander","Pago"
"09/05/2022","valcimar","Tearte"," -"," -","20","CCorrente Santander","Pago"
"17/05/2022","Mrs Fly","Mrs. Fly Viagens"," -","2000"," -","CCorrente Santander","Pago"
"18/05/2022","Booking","Sítio Boa vista"," -"," -","728","CCorrente Santander","Pago"
"18/05/2022","Shopping do Micro","Manutenção"," -"," -","270","CCorrente Santander","Pago"
"18/05/2022","Mercadinho","Alimentação"," -"," -","34","CCorrente Santander","Pago"
"20/05/2022","Cvc Corp","Salário"," -","1415,43"," -","CCorrente Santander","Pago"
"18/05/2022","Ruy ","Tearte"," -"," -","789,9","CCorrente Santander","Pago"
"23/05/2022","Faxina","Air BNB"," -"," -","150","CCorrente Santander","Pago"
"18/05/2022","I-food","Alimentação"," -"," -","108,99","CCorrente Santander","Pago"
"20/05/2022","valcimar","Tearte"," -"," -","25","CCorrente Santander","Pago"
"05/05/2022","kabecos","Alimentação"," -"," -","19","CCorrente Santander","Pago"
"23/05/2022","Western Union","Jade"," -"," -","103,18","CCorrente Santander","Pago"
"26/05/2022","Western Union","Jade"," -"," -","260,61","CCorrente Santander","Pago"
"26/05/2022","Aparecida","faxina"," -"," -","175","CCorrente Santander","Pago"
"26/05/2022","Mercadinho","Supermercado"," -"," -","26,35","CCorrente Santander","Pago"
